Ano;Dia;Hora;Casa;Fora;GC;GF;Res
2012;27/10/2012;19:20:00;Internacional;Palmeiras;2;1;C
2012;27/10/2012;21:30:00;Bahia;Gremio;1;1;e
2012;27/10/2012;21:30:00;Botafogo RJ;Atletico GO;4;0;C
2012;27/10/2012;21:30:00;Figueirense;Portuguesa;0;0;e
2012;27/10/2012;21:30:00;Sport Recife;Sao Paulo;2;4;F
2012;31/10/2012;23:50:00;Atletico-MG;Flamengo RJ;1;1;e
2012;03/11/2012;21:30:00;Cruzeiro;Santos;0;4;F
2012;03/11/2012;21:30:00;Gremio;Ponte Preta;1;0;C
2012;03/11/2012;23:00:00;Flamengo RJ;Figueirense;1;0;C
2012;04/11/2012;19:00:00;Atletico GO;Corinthians;0;2;F
2012;04/11/2012;19:00:00;Palmeiras;Botafogo RJ;2;2;e
2012;04/11/2012;19:00:00;Sao Paulo;Fluminense;1;1;e
2012;04/11/2012;19:00:00;Vasco;Sport Recife;0;3;F
2012;04/11/2012;21:30:00;Coritiba;Atletico-MG;1;0;C
2012;04/11/2012;21:30:00;Nautico;Internacional;3;0;C
2012;04/11/2012;21:30:00;Portuguesa;Bahia;0;1;F
2012;10/11/2012;21:30:00;Atletico GO;Santos;2;1;C
2012;10/11/2012;21:30:00;Botafogo RJ;Portuguesa;3;0;C
2012;10/11/2012;23:00:00;Corinthians;Coritiba;5;1;C
2012;11/11/2012;19:00:00;Gremio;Sao Paulo;2;1;C
2012;11/11/2012;19:00:00;Palmeiras;Fluminense;2;3;F
2012;11/11/2012;19:00:00;Vasco;Atletico-MG;1;1;e
2012;11/11/2012;21:30:00;Cruzeiro;Bahia;3;1;C
2012;11/11/2012;21:30:00;Figueirense;Sport Recife;1;1;e
2012;11/11/2012;21:30:00;Nautico;Flamengo RJ;0;1;F
2012;11/11/2012;21:30:00;Ponte Preta;Internacional;1;0;C
2012;17/11/2012;21:30:00;Coritiba;Vasco;1;2;F
2012;17/11/2012;21:30:00;Santos;Figueirense;2;0;C
2012;18/11/2012;19:00:00;Atletico-MG;Atletico GO;2;2;e
2012;18/11/2012;19:00:00;Bahia;Ponte Preta;1;0;C
2012;18/11/2012;19:00:00;Flamengo RJ;Palmeiras;1;1;e
2012;18/11/2012;19:00:00;Fluminense;Cruzeiro;0;2;F
2012;18/11/2012;19:00:00;Sao Paulo;Nautico;2;1;C
2012;18/11/2012;21:30:00;Internacional;Corinthians;0;2;F
2012;18/11/2012;21:30:00;Portuguesa;Gremio;2;2;e
2012;18/11/2012;21:30:00;Sport Recife;Botafogo RJ;2;0;C
2012;24/11/2012;21:30:00;Corinthians;Santos;1;1;e
2012;24/11/2012;21:30:00;Vasco;Flamengo RJ;1;1;e
2012;25/11/2012;19:00:00;Bahia;Nautico;1;1;e
2012;25/11/2012;19:00:00;Botafogo RJ;Atletico-MG;2;3;F
2012;25/11/2012;19:00:00;Cruzeiro;Coritiba;2;1;C
2012;25/11/2012;19:00:00;Figueirense;Gremio;2;4;F
2012;25/11/2012;19:00:00;Internacional;Portuguesa;0;2;F
2012;25/11/2012;19:00:00;Palmeiras;Atletico GO;1;2;F
2012;25/11/2012;19:00:00;Ponte Preta;Sao Paulo;0;0;e
2012;25/11/2012;19:00:00;Sport Recife;Fluminense;1;1;e
2012;01/12/2012;21:30:00;Flamengo RJ;Botafogo RJ;2;2;e
2012;01/12/2012;21:30:00;Santos;Palmeiras;3;1;C
2012;02/12/2012;19:00:00;Atletico GO;Bahia;0;1;F
2012;02/12/2012;19:00:00;Atletico-MG;Cruzeiro;3;2;C
2012;02/12/2012;19:00:00;Coritiba;Figueirense;3;0;C
2012;02/12/2012;19:00:00;Fluminense;Vasco;1;2;F
2012;02/12/2012;19:00:00;Gremio;Internacional;0;0;e
2012;02/12/2012;19:00:00;Nautico;Sport Recife;1;0;C
2012;02/12/2012;19:00:00;Portuguesa;Ponte Preta;0;0;e
2012;02/12/2012;19:00:00;Sao Paulo;Corinthians;3;1;C
2013;25/05/2013;22:30:00;Vasco;Portuguesa;1;0;C
2013;25/05/2013;22:30:00;Vitoria;Internacional;2;2;e
2013;26/05/2013;01:00:00;Corinthians;Botafogo RJ;1;1;e
2013;26/05/2013;20:00:00;Criciuma;Bahia;3;1;C
2013;26/05/2013;20:00:00;Gremio;Nautico;2;0;C
2013;26/05/2013;20:00:00;Ponte Preta;Sao Paulo;0;2;F
2013;26/05/2013;20:00:00;Santos;Flamengo RJ;0;0;e
2013;26/05/2013;22:30:00;Coritiba;Atletico-MG;2;1;C
2013;26/05/2013;22:30:00;Cruzeiro;Goias;5;0;C
2013;26/05/2013;22:30:00;Fluminense;Atletico-PR;2;1;C
2013;29/05/2013;19:00:00;Atletico-PR;Cruzeiro;2;2;e
2013;29/05/2013;23:30:00;Botafogo RJ;Santos;2;1;C
2013;29/05/2013;23:30:00;Sao Paulo;Vasco;5;1;C
2013;30/05/2013;01:00:00;Bahia;Coritiba;0;0;e
